		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 	In 	In Air	Temp	Temp	Temp	Hum	Hum		Soil 1	Soil 2	Soil 3	Soil 4	Soil 	Soil 	Soil 	Soil 	Leaf	Leaf	Leaf 	Leaf 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	EMC	Density	2nd	3rd	4th	2nd	3rd	ET 	Moist.	Moist.	Moist.	Moist.	Temp 1	Temp 2	Temp 3	Temp 4	Wet 1	Wet 2	Temp 1	Temp 2	Samp	Tx 	Recept	Int.
04/03/22	12:30 a	24.4	24.9	24.4	30	5.7	4.8	ESE	2.41	9.7	ESE	24.4	23.4	23.4	---	1006.2	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.126	21.8	29	3.0	20.1	6.00	1.1799	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	691	1	100.0	30
04/03/22	1:00 a	22.8	24.4	22.8	39	8.1	6.4	ESE	3.22	12.9	SE	22.8	22.1	22.1	---	1006.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.094	21.8	29	3.0	20.1	6.00	1.1797	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
04/03/22	1:30 a	22.1	22.8	22.0	44	9.2	4.8	ESE	2.41	9.7	ESE	22.1	21.2	21.2	---	1005.8	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.078	21.9	29	3.0	20.2	5.99	1.1792	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	695	1	100.0	30
04/03/22	2:00 a	21.1	22.1	21.1	45	8.7	1.6	ESE	0.80	4.8	ESE	21.1	19.9	19.9	---	1005.6	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.058	21.9	29	3.1	20.3	5.99	1.1787	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
04/03/22	2:30 a	20.2	21.1	19.9	55	10.8	3.2	ESE	1.61	6.4	ESE	20.2	19.7	19.7	---	1005.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.038	21.9	30	3.6	20.3	6.19	1.1781	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
04/03/22	3:00 a	19.3	20.3	19.2	25	-1.3	4.8	ESE	2.41	8.0	SE	19.3	16.8	16.8	---	1005.3	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.020	21.9	30	3.6	20.3	6.19	1.1781	---	---	---	---	---	0.08	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
04/03/22	3:30 a	19.5	19.7	19.2	21	-3.4	6.4	S	3.22	9.7	SSW	19.5	16.8	16.8	---	1005.0	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.024	22.0	30	3.6	20.4	6.19	1.1775	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	698	1	100.0	30
04/03/22	4:00 a	20.1	20.1	19.4	21	-3.0	3.2	SSW	1.61	8.0	SSW	20.1	17.6	17.6	---	1004.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.036	22.1	30	3.7	20.5	6.18	1.1771	---	---	---	---	---	0.10	---	---	---	---	---	---	---	---	---	---	---	---	696	1	100.0	30
04/03/22	4:30 a	20.0	20.1	19.7	21	-3.0	1.6	SSW	0.80	3.2	SSW	20.0	17.5	17.5	---	1004.9	0.00	0.0	0	0.00	0	0.0	0.00	0.0	0.000	0.035	22.1	29	3.2	20.4	5.98	1.1774	---	---	---	---	---	0.00	---	---	---	---	---	---	---	---	---	---	---	---	694	1	100.0	30
